fileID,f1,f2,vot,notes
ne01_kaka,864.31,1653.12,39.78,
ne01_kaka1,946.56,1779.59,40.55,
ne01_kaka2,1069.48,1767.06,36.85,
ne01_keke,472.32,2491.00,42.86,
ne01_keke1,603.85,2463.95,32.42,
ne01_keke2,491.33,2652.67,30.91,
ne01_kiki,332.92,2843.70,38.80,
ne01_kiki1,976.65,2289.06,48.45,
ne01_kiki2,438.63,2777.74,43.77,
ne01_koko,666.18,1082.38,53.25,
ne01_koko1,576.13,1060.90,31.44,
ne01_koko2,649.93,1103.09,40.18,
ne01_kuku,487.63,1102.41,60.95,
ne01_kuku1,441.65,1007.95,61.44,
ne01_kuku2,1085.56,2127.92,59.33,
ne01_paka,759.08,1496.71,22.43,
ne01_paka1,798.77,1531.53,15.02,
ne01_paka2,843.72,1644.23,15.20,
ne01_peke,377.45,2678.85,10.99,
ne01_peke1,386.84,2674.50,26.09,
ne01_peke2,545.60,2518.77,10.57,
ne01_piki,398.94,2866.79,18.11,
ne01_piki1,419.74,2857.46,12.52,
ne01_piki2,372.18,2934.45,11.59,
ne01_poko,514.75,1083.17,27.96,
ne01_poko1,584.75,1156.34,23.21,
ne01_poko2,511.33,1058.41,16.21,
ne01_puku,424.85,1061.07,29.57,
ne01_puku1,449.46,1058.76,52.83,
ne01_puku2,434.64,1015.08,61.89,
ne01_taka,883.05,1704.11,14.00,
ne01_taka1,1207.34,1780.40,18.50,
ne01_taka2,924.13,1742.16,13.44,
ne01_teke,514.21,2478.81,19.84,
ne01_teke1,552.11,2478.16,16.21,
ne01_teke2,751.91,2500.89,14.96,
ne01_tiki,371.81,2887.57,26.29,
ne01_tiki1,362.25,2827.28,27.03,
ne01_tiki2,363.91,3002.42,34.15,
ne01_toko,572.27,970.35,35.59,
ne01_toko1,436.76,1089.23,29.56,
ne01_toko2,564.76,1064.90,14.36,
ne01_tuku,422.65,1065.36,45.27,
ne01_tuku1,414.44,1071.29,30.73,
ne01_tuku2,1081.94,1490.16,42.08,
