fileID,f1,f2,vot,notes
ne02_kaka,608.89,1455.46,43.14,
ne02_kaka1,929.51,2275.54,57.36,
ne02_kaka2,79.26,1503.00,41.41,
ne02_keke,472.65,2417.35,39.69,
ne02_keke1,423.59,2481.91,56.73,
ne02_keke2,500.07,2242.47,35.37,
ne02_kiki,356.62,2690.50,67.17,
ne02_kiki1,352.01,2760.45,55.36,
ne02_kiki2,319.25,2784.03,56.61,
ne02_koko,551.55,1040.65,48.15,
ne02_koko1,428.91,1022.28,43.51,
ne02_koko2,528.93,1076.21,47.68,
ne02_kuku,870.97,1082.54,68.46,
ne02_kuku1,313.78,1163.82,68.00,
ne02_kuku2,479.49,1141.41,59.39,
ne02_paka,761.95,1680.35,25.78,
ne02_paka1,861.64,1523.77,18.19,
ne02_paka2,1079.34,1787.49,14.23,
ne02_peke,543.58,2396.33,48.24,
ne02_peke1,530.01,2449.35,12.39,
ne02_peke2,528.80,2471.15,45.80,
ne02_piki,348.20,2629.07,14.56,
ne02_piki1,381.07,2707.70,15.41,
ne02_piki2,444.91,2643.75,17.36,
ne02_poko,572.51,1018.76,22.64,
ne02_poko1,943.25,2034.77,25.63,
ne02_poko2,511.92,1329.73,26.19,
ne02_puku,437.27,1054.81,33.47,
ne02_puku1,496.26,1205.27,40.76,
ne02_puku2,448.10,1261.34,23.82,
ne02_taka,838.73,1759.99,27.11,
ne02_taka1,828.22,1590.18,18.11,
ne02_taka2,799.28,1675.82,35.22,
ne02_teke,799.28,1675.82,35.22,
ne02_teke1,475.21,2483.58,33.78,
ne02_teke2,618.35,1908.86,35.55,
ne02_tiki,296.40,2867.41,41.25,
ne02_tiki1,316.68,2756.21,32.59,
ne02_tiki2,284.86,2658.66,34.64,
ne02_toko,504.40,1001.84,33.21,
ne02_toko1,591.57,1151.65,48.52,
ne02_toko2,534.82,1020.61,36.38,
ne02_tuku,468.83,1302.90,35.24,
ne02_tuku1,443.32,1124.43,41.12,
ne02_tuku2,740.59,1589.94,50.48,
