fileID,f1,f2,vot,notes
bi02_kaka,778.10,1572.49,23.59,
bi02_kaka1,795.86,1551.11,29.30,
bi02_kaka2,557.83,1508.40,29.80,
bi02_keke,465.52,2224.62,21.57,
bi02_keke1,459.43,2356.02,19.89,
bi02_keke2,540.77,2322.73,22.12,
bi02_kiki,334.13,2644.89,33.53,
bi02_kiki1,349.73,2694.32,19.45,
bi02_kiki2,339.86,2674.75,22.37,
bi02_koko,616.78,990.44,37.15,
bi02_koko1,599.29,969.47,33.54,
bi02_koko2,498.98,871.26,38.18,
bi02_kuku,471.73,900.93,33.04,
bi02_kuku1,467.77,914.67,34.87,
bi02_kuku2,307.80,763.55,29.80,
bi02_paka,804.67,1633.61,12.66,
bi02_paka1,728.34,1474.95,14.68,
bi02_paka2,671.36,1627.44,12.34,
bi02_peke,496.50,2249.05,20.00,
bi02_peke1,458.53,2365.17,19.97,
bi02_peke2,482.25,2359.47,18.10,
bi02_piki,354.66,1719.59,26.15,
bi02_piki1,284.48,2682.95,13.17,
bi02_piki2,565.52,2680.13,21.87,
bi02_poko,580.13,918.90,22.21,
bi02_poko1,578.81,947.46,22.20,
bi02_poko2,565.52,1057.33,26.57,
bi02_puku,506.80,899.23,28.63,
bi02_puku1,461.57,862.78,18.29,
bi02_puku2,417.87,818.65,21.93,
bi02_taka,814.83,1547.02,12.85,
bi02_taka1,728.00,1537.32,14.11,
bi02_taka2,531.58,1451.62,21.37,
bi02_teke,526.70,2210.92,14.37,
bi02_teke1,464.34,2349.93,13.89,
bi02_teke2,446.84,967.43,15.96,
bi02_tiki,644.64,2426.20,18.97,
bi02_tiki1,346.35,2745.21,16.17,
bi02_tiki2,705.24,2655.71,12.30,
bi02_toko,476.24,886.72,10.39,
bi02_toko1,556.33,965.38,12.79,
bi02_toko2,609.20,1003.26,16.76,
bi02_tuku,473.05,964.89,20.24,
bi02_tuku1,466.50,931.87,13.39,
bi02_tuku2,515.43,844.84,17.37,
